,dateSold,propertyType,lotAreaValue,address,daysOnZillow,price,listingDateTime,longitude,latitude,contingentListingType,listingStatus,zpid,listingSubType,imgSrc,livingArea,bathrooms,lotAreaUnit,country,currency,bedrooms,hasImage
0,,APARTMENT,,"5441 N East River Rd, Chicago, IL 60656",,1135,,,,,,,,,739,1,,,,1,TRUE
1,,APARTMENT,,"8439 W Catherine Ave APT 111, Chicago, IL 60656",,1205,,,,,,,,,700,1,,,,1,TRUE
2,,APARTMENT,,"5121 N East River Rd UNIT 1E, Chicago, IL 60656",,1195,,,,,,,,,,1,,,,1,TRUE
3,,APARTMENT,,"8510 W Catalpa Ave UNIT 2N, Chicago, IL 60656",,1175,,,,,,,,,700,1,,,,1,TRUE
4,,APARTMENT,,"8710 W Evelyn Ln APT 104, Chicago, IL 60656",,1500,,,,,,,,,900,2,,,,1,TRUE
5,,APARTMENT,,"8514 W Rascher Ave APT 3N, Chicago, IL 60656",,1250,,,,,,,,,1000,1,,,,2,TRUE
6,,APARTMENT,,"8518 W Catalpa Ave APT 2N, Chicago, IL 60656",,1100,,,,,,,,,,1,,,,1,TRUE
7,,APARTMENT,,"(Undisclosed Address), Chicago, IL 60656",,1500,,,,,,,,,800,1,,,,1,TRUE
8,,APARTMENT,,"8531 W Gregory St #1C, Chicago, IL 60656",,1150,,,,,,,,,640,1,,,,1,TRUE
9,,APARTMENT,,"8507 W Winnemac Ave APT 1, Chicago, IL 60656",,1800,,,,,,,,,1200,1.5,,,,3,TRUE
10,,APARTMENT,,"7052 W Higgins Ave #1, Chicago, IL 60656",,1995,,,,,,,,,1600,1,,,,3,TRUE
11,,APARTMENT,,"6518 N Nashville Ave, Chicago, IL 60631",,1425,,,,,,,,,1000,1,,,,2,TRUE
12,,APARTMENT,,"6874 N NW Highway, 6874 N Northwest Hwy, Chicago, IL 60631",,1555,,,,,,,,,,1,,,,2,TRUE
13,,APARTMENT,,"6454 N NW Highway, 6454 N Northwest Hwy, Chicago, IL 60631",,1245,,,,,,,,,,1,,,,1,TRUE
14,,APARTMENT,,"6468 N Northwest Hwy APT B2, Chicago, IL 60631",,1500,,,,,,,,,900,1,,,,2,TRUE
15,,APARTMENT,,"6462 N Northwest Hwy #104, Chicago, IL 60631",,1650,,,,,,,,,900,1,,,,2,TRUE
16,,APARTMENT,,"6677 N Northwest Hwy #2N, Chicago, IL 60631",,1200,,,,,,,,,800,1,,,,1,TRUE
17,,APARTMENT,,"6765 N Olmsted Ave UNIT 1B, Chicago, IL 60631",,1100,,,,,,,,,500,1,,,,1,TRUE
18,,Townhouse,,"5911 N Northwest Hwy #205, Chicago, IL 60631",,2150,,,,,,,,,1100,1,,,,3,TRUE
19,,SingleFamily,,"7929 W Bryn Mawr Ave, Chicago, IL 60631",,2900,,,,,,,,,2082,2.5,,,,3,TRUE
20,,APARTMENT,,"6669 W Devon Ave #G, Chicago, IL 60631",,1000,,,,,,,,,750,1,,,,1,TRUE
21,,APARTMENT,,"6244 N Harlem Ave APT 7A, Chicago, IL 60631",,1100,,,,,,,,,480,1,,,,1,TRUE
22,,APARTMENT,,"7159 W Hood Ave #1, Chicago, IL 60631",,1150,,,,,,,,,950,1,,,,1,TRUE
23,,APARTMENT,,"6490 N Northwest Hwy APT 3B, Chicago, IL 60631",,1550,,,,,,,,,900,1,,,,1,TRUE
24,,APARTMENT,,"6827 N Northwest Hwy APT 2, Chicago, IL 60631",,1795,,,,,,,,,1300,1,,,,2,TRUE
25,,Townhouse,,"5911 N Northwest Hwy #203, Chicago, IL 60631",,2150,,,,,,,,,1100,1,,,,3,TRUE
26,,APARTMENT,,"6545 N Natoma Ave #2, Chicago, IL 60631",,1695,,,,,,,,,1100,1,,,,3,TRUE
27,,APARTMENT,,"6771 N Olmsted Ave, Chicago, IL 60631",,1350,,,,,,,,,920,1,,,,1,TRUE
28,,SingleFamily,,"7739 W Bryn Mawr Ave, Chicago, IL 60631",,2200,,,,,,,,,1250,2,,,,2,TRUE
29,,APARTMENT,,"6107 N Cicero Ave APT 7, Chicago, IL 60646",,900,,,,,,,,,500,1,,,,1,TRUE
30,,APARTMENT,,"5719 N McVicker Ave #1, Chicago, IL 60646",,1800,,,,,,,,,1100,1,,,,2,TRUE
31,,APARTMENT,,"5929 N Merrimac Ave #1, Chicago, IL 60646",,1500,,,,,,,,,,1,,,,2,TRUE
32,,APARTMENT,,"6250 W Raven St #BASEMENT, Chicago, IL 60646",,1100,,,,,,,,,800,1,,,,1,TRUE
33,,APARTMENT,,"6160 W Thorndale Ave, Chicago, IL 60646",,1550,,,,,,,,,1150,1,,,,2,TRUE
34,,APARTMENT,,"6319 N Louise Ave #1, Chicago, IL 60646",,2800,,,,,,,,,2000,2,,,,3,TRUE
35,,APARTMENT,,"(Undisclosed Address), Chicago, IL 60646",,1650,,,,,,,,,,1,,,,1,TRUE
36,,APARTMENT,,"5859 N Elston Ave APT 1, Chicago, IL 60646",,1275,,,,,,,,,1000,1,,,,2,TRUE
37,,APARTMENT,,"6059 N Sauganash Ave #1, Chicago, IL 60646",,1400,,,,,,,,,1000,1,,,,1,TRUE
38,,APARTMENT,,"6756 N Sauganash Ave #GS, Chicago, IL 60646",,1125,,,,,,,,,750,1,,,,1,TRUE
39,,APARTMENT,,"(Undisclosed Address), Chicago, IL 60646",,1100,,,,,,,,,1000,1,,,,1,TRUE
40,,APARTMENT,,"5627 N Central Ave #2, Chicago, IL 60646",,1800,,,,,,,,,1100,2,,,,2,TRUE
41,,APARTMENT,,"5860 N Merrimac Ave APT 2, Chicago, IL 60646",,2300,,,,,,,,,,1.5,,,,3,TRUE
42,,APARTMENT,,"5701 N Meade Ave #2, Chicago, IL 60646",,1500,,,,,,,,,900,1,,,,2,TRUE
43,,APARTMENT,,"(Undisclosed Address), Chicago, IL 60646",,1195,,,,,,,,,1100,1,,,,2,TRUE
44,,APARTMENT,,"4440 N Laporte Ave, Chicago, IL 60630",,1200,,,,,,,,,750,1,,,,2,TRUE
45,,APARTMENT,,"5946 W Leland Ave #2, Chicago, IL 60630",,2100,,,,,,,,,,2,,,,3,TRUE
46,,APARTMENT,,"Linder/Lawrence, 4804 N Linder Ave, Chicago, IL 60630",,895,,,,,,,,,400,1,,,,1,TRUE
47,,APARTMENT,,"4932 N Kentucky Ave UNIT 1, Chicago, IL 60630",,1900,,,,,,,,,1400,1,,,,3,TRUE
48,,APARTMENT,,"5325 W Winnemac Ave #1F, Chicago, IL 60630",,1050,,,,,,,,,600,1,,,,1,TRUE
49,,APARTMENT,,"5312 W Foster Ave #3, Chicago, IL 60630",,1600,,,,,,,,,1200,1,,,,2,TRUE
50,,APARTMENT,,"5453 W Leland Ave #3, Chicago, IL 60630",,1150,,,,,,,,,650,1,,,,1,TRUE
51,,APARTMENT,,"5205 W Agatite Ave #1, Chicago, IL 60630",,1595,,,,,,,,,1100,1,,,,2,TRUE
52,,APARTMENT,,"4727 N Kostner Ave #2, Chicago, IL 60630",,1450,,,,,,,,,1100,1,,,,2,TRUE
53,,APARTMENT,,"5248 W Winnemac Ave, Chicago, IL 60630",,1000,,,,,,,,,800,1,,,,1,TRUE
54,,APARTMENT,,"5517 N Central Ave #B, Chicago, IL 60630",,1400,,,,,,,,,900,1,,,,2,TRUE
55,,APARTMENT,,"5100 W Winnemac Ave UNIT 2, Chicago, IL 60630",,1500,,,,,,,,,800,1,,,,2,TRUE
56,,APARTMENT,,"5034 W Argyle St #1, Chicago, IL 60630",,2400,,,,,,,,,850,1,,,,2,TRUE
57,,APARTMENT,,"4422 N Cicero Ave #1, Chicago, IL 60630",,1300,,,,,,,,,600,1,,,,2,TRUE
58,,APARTMENT,,"4022 W. Montrose Ave, # 3, 4022 W Montrose Ave, Chicago, IL 60630",,995,,,,,,,,,750,1,,,,1,TRUE
59,,APARTMENT,,"4948 N Lester Ave, Chicago, IL 60630",,875,,,,,,,,,700,1,,,,1,TRUE
60,,APARTMENT,,"4948 N Lester Ave, Chicago, IL 60630",,1500,,,,,,,,,1500,1,,,,2,TRUE
61,,APARTMENT,,"4607 N Kennicott Ave #2, Chicago, IL 60630",,1700,,,,,,,,,1000,1,,,,3,TRUE
62,,APARTMENT,,"5629 W Higgins Ave, Chicago, IL 60630",,2450,,,,,,,,,1800,3,,,,3,TRUE
63,,APARTMENT,,"(Undisclosed Address), Chicago, IL 60630",,1475,,,,,,,,,1100,1,,,,2,TRUE
64,,APARTMENT,,"4588 N Elston Ave APT 107, Chicago, IL 60630",,925,,,,,,,,,400,1,,,,1,TRUE
65,,APARTMENT,,"(Undisclosed Address), Chicago, IL 60630",,1950,,,,,,,,,1175,1,,,,2,TRUE
66,,APARTMENT,,"4935 N Pulaski Rd FLOOR 1, Chicago, IL 60630",,1600,,,,,,,,,1300,1,,,,2,TRUE
67,,APARTMENT,,"5016 N Mango Ave FLOOR 1, Chicago, IL 60630",,2000,,,,,,,,,,1,,,,2,TRUE
68,,APARTMENT,,"5957 W Giddings St #B, Chicago, IL 60630",,1250,,,,,,,,,1100,1,,,,2,TRUE
69,,APARTMENT,,"4819 N Karlov Ave #2, Chicago, IL 60630",,1700,,,,,,,,,200,1,,,,2,TRUE
70,,APARTMENT,,"4508 N Central Ave #1, Chicago, IL 60630",,1380,,,,,,,,,745,1,,,,2,TRUE
71,,APARTMENT,,"5615 W Lawrence Ave, Chicago, IL 60630",,2300,,,,,,,,,1500,2,,,,3,TRUE
72,,APARTMENT,,"5010 N Central Ave #2, Chicago, IL 60630",,1650,,,,,,,,,1300,1.5,,,,3,TRUE
73,,APARTMENT,,"5227 N Central Ave #1, Chicago, IL 60630",,1700,,,,,,,,,1200,1.5,,,,3,TRUE
74,,APARTMENT,,"5632 W Goodman St APT 1, Chicago, IL 60630",,2100,,,,,,,,,,2,,,,3,TRUE
75,,APARTMENT,,"4819 W Ainslie St #2, Chicago, IL 60630",,1450,,,,,,,,,,1,,,,2,TRUE
76,,APARTMENT,,"4929 N Menard Ave APT 2, Chicago, IL 60630",,1625,,,,,,,,,1200,1,,,,2,TRUE
77,,APARTMENT,,"4449 W Sunnyside Ave UNIT 2, Chicago, IL 60630",,1350,,,,,,,,,1000,1,,,,2,TRUE
78,,APARTMENT,,"5450 W Foster Ave #1, Chicago, IL 60630",,2000,,,,,,,,,1200,1,,,,2,TRUE
79,,APARTMENT,,"4976 N Milwaukee Ave, Chicago, IL 60630",,1700,,,,,,,,,1000,1,,,,2,TRUE
80,,APARTMENT,,"(Undisclosed Address), Chicago, IL 60630",,1498,,,,,,,,,1200,1,,,,2,TRUE
81,,APARTMENT,,"5337 W Carmen Ave, Chicago, IL 60630",,2850,,,,,,,,,1600,2,,,,3,TRUE
82,,APARTMENT,,"5268 N Laporte Ave #2, Chicago, IL 60630",,1350,,,,,,,,,800,1,,,,1,TRUE
83,,APARTMENT,,"5101 N Kenton Ave #1, Chicago, IL 60630",,1800,,,,,,,,,1450,2,,,,3,TRUE
84,,APARTMENT,,"5637 W Lawrence Ave #2F, Chicago, IL 60630",,2300,,,,,,,,,,2,,,,3,TRUE
85,,APARTMENT,,"4517 N Milwaukee Ave, Chicago, IL 60630",,1200,,,,,,,,,1100,1,,,,2,TRUE
86,,APARTMENT,,"Kennedy Estates, # 205, 4810 N Lavergne Ave, Chicago, IL 60630",,2225,,,,,,,,,1463,2,,,,2,TRUE
87,,APARTMENT,,"5315 W Catalpa Ave #2, Chicago, IL 60630",,1175,,,,,,,,,580,1,,,,1,TRUE
88,,APARTMENT,,"4919 W Argyle St #2, Chicago, IL 60630",,1250,,,,,,,,,,1,,,,2,TRUE
89,,APARTMENT,,"5922 W Leland Ave #2, Chicago, IL 60630",,1195,,,,,,,,,800,1,,,,1,TRUE
90,,APARTMENT,,60639,,795,,,,,,,,,,1,,,,1,TRUE
91,,APARTMENT,,60639,,1400,,,,,,,,,900,1,,,,3,TRUE
92,,APARTMENT,,60639,,1675,,,,,,,,,639,1,,,,1,TRUE
93,,APARTMENT,,60639,,1900,,,,,,,,,1500,2,,,,3,TRUE
94,,,,60639,,1300,,,,,,,,,736,1,,,,2,TRUE
95,,APARTMENT,,60639,,1250,,,,,,,,,950,1,,,,2,TRUE
96,,APARTMENT,,60639,,2295,,,,,,,,,1000,2,,,,3,TRUE
97,,APARTMENT,,60639,,1450,,,,,,,,,1100,1,,,,2,TRUE
98,,APARTMENT,,60639,,1295,,,,,,,,,900,1,,,,2,TRUE
99,,APARTMENT,,60639,,1700,,,,,,,,,,1,,,,2,TRUE
100,,APARTMENT,,60639,,1150,,,,,,,,,800,1,,,,2,TRUE
101,,APARTMENT,,60639,,950,,,,,,,,,,1,,,,1,TRUE
102,,APARTMENT,,60639,,1125,,,,,,,,,,1,,,,2,TRUE
103,,APARTMENT,,60639,,1350,,,,,,,,,750,1,,,,2,TRUE
104,,APARTMENT,,60639,,1245,,,,,,,,,550,1,,,,1,TRUE
105,,APARTMENT,,60639,,2295,,,,,,,,,1300,1,,,,3,TRUE
106,,APARTMENT,,60639,,875,,,,,,,,,700,1,,,,1,TRUE
107,,APARTMENT,,60639,,1850,,,,,,,,,1500,2,,,,3,TRUE
108,,APARTMENT,,60639,,1700,,,,,,,,,1500,1,,,,3,TRUE
109,,APARTMENT,,60639,,1620,,,,,,,,,1300,2,,,,3,TRUE
110,,APARTMENT,,60639,,1100,,,,,,,,,800,1,,,,1,TRUE
111,,APARTMENT,,60639,,825,,,,,,,,,600,1,,,,1,TRUE
112,,APARTMENT,,60639,,950,,,,,,,,,700,1,,,,1,TRUE
113,,APARTMENT,,60639,,1350,,,,,,,,,850,2,,,,2,TRUE
114,,APARTMENT,,60639,,1150,,,,,,,,,1000,1,,,,1,TRUE
115,,APARTMENT,,60639,,1650,,,,,,,,,1000,2,,,,2,TRUE
116,,APARTMENT,,60639,,1300,,,,,,,,,850,1,,,,2,TRUE
117,,APARTMENT,,60639,,1400,,,,,,,,,900,1,,,,2,TRUE
118,,APARTMENT,,60639,,1095,,,,,,,,,800,1,,,,1,TRUE
119,,APARTMENT,,60639,,1400,,,,,,,,,950,1,,,,2,TRUE
120,,APARTMENT,,60639,,1150,,,,,,,,,,1,,,,2,TRUE
121,,APARTMENT,,60639,,1355,,,,,,,,,,1,,,,2,TRUE
122,,APARTMENT,,60639,,1580,,,,,,,,,,1,,,,3,TRUE
123,,APARTMENT,,60639,,1500,,,,,,,,,,1,,,,2,TRUE
124,,APARTMENT,,60639,,1200,,,,,,,,,1000,1,,,,2,TRUE
125,,APARTMENT,,60639,,1300,,,,,,,,,1000,1,,,,2,TRUE
126,,APARTMENT,,60639,,1345,,,,,,,,,1000,1,,,,2,TRUE
127,,APARTMENT,,60639,,1400,,,,,,,,,,1,,,,2,TRUE
128,,APARTMENT,,60639,,1025,,,,,,,,,700,1,,,,1,TRUE
129,,APARTMENT,,60639,,1300,,,,,,,,,,1,,,,2,TRUE
130,,APARTMENT,,60639,,900,,,,,,,,,1100,1,,,,1,TRUE
131,,APARTMENT,,60639,,1400,,,,,,,,,1200,1,,,,2,TRUE
132,,APARTMENT,,60639,,2300,,,,,,,,,1400,1,,,,3,TRUE
133,,APARTMENT,,60639,,1400,,,,,,,,,1500,1,,,,2,TRUE
134,,APARTMENT,,60639,,1500,,,,,,,,,1200,1,,,,3,TRUE
135,,APARTMENT,,60611,,4601,,,,,,,,,1286,2,,,,2,TRUE
136,,APARTMENT,,60611,,4143,,,,,,,,,1226,2,,,,2,TRUE
137,,APARTMENT,,60611,,3150,,,,,,,,,1179,2,,,,2,TRUE
138,,APARTMENT,,60611,,4105,,,,,,,,,1230,2,,,,2,TRUE
139,,APARTMENT,,60611,,2995,,,,,,,,,1179,2,,,,2,TRUE
140,,APARTMENT,,60611,,3604,,,,,,,,,1230,2,,,,2,TRUE
141,,APARTMENT,,60611,,2375,,,,,,,,,,2,,,,2,TRUE
142,,APARTMENT,,60611,,3600,,,,,,,,,700,1,,,,1,TRUE
143,,APARTMENT,,60611,,1745,,,,,,,,,570,1,,,,1,TRUE
144,,APARTMENT,,60611,,3279,,,,,,,,,1200,2,,,,2,TRUE
145,,APARTMENT,,60611,,2240,,,,,,,,,852,1,,,,1,TRUE
146,,APARTMENT,,60611,,1395,,,,,,,,,430,1,,,,1,TRUE
147,,APARTMENT,,60611,,1635,,,,,,,,,590,1,,,,1,TRUE
148,,APARTMENT,,60611,,1235,,,,,,,,,,1,,,,1,TRUE
149,,APARTMENT,,60611,,2650,,,,,,,,,450,1,,,,1,TRUE
150,,APARTMENT,,60611,,1875,,,,,,,,,700,1,,,,1,TRUE
151,,APARTMENT,,60611,,4491,,,,,,,,,1184,2,,,,2,TRUE
152,,APARTMENT,,60611,,3400,,,,,,,,,1300,2,,,,2,TRUE
153,,APARTMENT,,60611,,2174,,,,,,,,,,1,,,,1,TRUE
154,,APARTMENT,,60611,,1908,,,,,,,,,509,1,,,,1,TRUE
155,,APARTMENT,,60611,,3390,,,,,,,,,1393,2,,,,2,TRUE
156,,APARTMENT,,60611,,3200,,,,,,,,,1098,2,,,,2,TRUE
157,,APARTMENT,,60611,,3750,,,,,,,,,1250,2,,,,2,TRUE
