,dateSold,propertyType,lotAreaValue,address,daysOnZillow,price,listingDateTime,longitude,latitude,contingentListingType,listingStatus,zpid,imgSrc,livingArea,bathrooms,lotAreaUnit,country,currency,bedrooms,hasImage,listingSubType
0,,APARTMENT,,"3829-31 N. Kedzie Ave., 3829 N Kedzie Ave #3831-3N, Chicago, IL 60618",-1.0,2150.0,,-87.70757,41.951206,,FOR_RENT,2064153212,https://photos.zillowstatic.com/fp/c1dfae3e40bc27f248a6acd8b3a6cecf-p_e.jpg,,2.0,,USA,USD,3.0,True,
1,,,,"3559 N Milwaukee Ave, Chicago, IL",,,,,,,,41.9455--87.7339,https://photos.zillowstatic.com/fp/32136c5d2bf9925e52e27a4827545e67-p_e.jpg,,,,,,,True,
2,,APARTMENT,,"7255-57 N. Bell Ave., 7255 N Bell Ave #72572, Chicago, IL 60645",-1.0,1850.0,,-87.68588,42.01386,,FOR_RENT,2073752217,https://photos.zillowstatic.com/fp/3756ea75e8e144dfbe217dc087e04f9a-p_e.jpg,,2.0,,USA,USD,3.0,True,
3,,APARTMENT,,"1521-23 W. Irving Park Rd., 1521 W Irving Park #1523-2W, Chicago, IL 60613",-1.0,2395.0,,-87.668396,41.95409,,FOR_RENT,2064153214,https://photos.zillowstatic.com/fp/511a7b44ee361aaae213587a57be4703-p_e.jpg,,1.0,,USA,USD,3.0,True,
4,,,,"1448 N Leavitt St, Chicago, IL",,,,,,,,41.908203--87.68241,https://photos.zillowstatic.com/fp/0bfb2f5289237d92ad747d52fda3623c-p_e.jpg,,,,,,,True,
5,,APARTMENT,,"2150 N. Halsted St., 2150 N Halsted St APT 3F, Chicago, IL 60614",-1.0,2195.0,,-87.64888,41.92149,,FOR_RENT,2097525591,https://photos.zillowstatic.com/fp/2afcfc04b8e392ac5f6fec15878ed5eb-p_e.jpg,,1.0,,USA,USD,2.0,True,
6,,APARTMENT,,"4362-64 N. Kenmore Ave., 4362 N Kenmore Ave #4364-1, Chicago, IL 60613",-1.0,1850.0,,-87.65668,41.961586,,FOR_RENT,2071595958,https://photos.zillowstatic.com/fp/74d616df4f89e1ed4bdd5794218e8208-p_e.jpg,890.0,1.0,,USA,USD,2.0,True,
7,,APARTMENT,,"1901-03 W. Addison St., 1901 W Addison St #3548-2, Chicago, IL 60613",-1.0,1795.0,,-87.67633,41.946617,,FOR_RENT,2071627759,https://photos.zillowstatic.com/fp/52e0da51c85aae0a0b514df2d2b21842-p_e.jpg,771.0,1.0,,USA,USD,2.0,True,
8,,APARTMENT,,"1406 W. Superior St., 1406 W Superior St APT 2R, Chicago, IL 60642",-1.0,1795.0,,-87.66272,41.89546,,FOR_RENT,2102450804,https://photos.zillowstatic.com/fp/400852479ef6f9e792c2c84a91d16a75-p_e.jpg,,1.0,,USA,USD,2.0,True,
9,,APARTMENT,,"2028 N. Winchester Ave., 2028 N Winchester Ave APT 1R, Chicago, IL 60614",-1.0,2395.0,,-87.676704,41.918682,,FOR_RENT,2108768019,https://photos.zillowstatic.com/fp/c9a2fbde369e63db846622aafc97100e-p_e.jpg,,1.5,,USA,USD,3.0,True,
10,,,,"1170 N Milwaukee Ave, Chicago, IL",,,,,,,,41.902798--87.6661,https://photos.zillowstatic.com/fp/e58e9a647d4df3df8bc71f6ac0b91b78-p_e.jpg,,,,,,,True,
11,,APARTMENT,,"222 N Garland Ct FLOOR 30-ID41, Chicago, IL 60601",-1.0,3620.0,,-87.62529,41.88628,,FOR_RENT,2068772159,https://photos.zillowstatic.com/fp/da6a685483b9eaf588e85c4c5916494a-p_e.jpg,860.0,1.0,,USA,USD,1.0,True,
12,,APARTMENT,,"20 S Clark St FLOOR 10-ID503, Chicago, IL 60603",-1.0,2820.0,,-87.63122,41.881294,,FOR_RENT,2064207402,https://photos.zillowstatic.com/fp/dc51d8f8b24c4c2e81436edf1b147ef3-p_e.jpg,695.0,1.0,,USA,USD,0.0,True,
13,,APARTMENT,,"4500 S King Dr #GN, Chicago, IL 60653",-1.0,2365.0,,-87.617325,41.812817,,FOR_RENT,2069828829,https://photos.zillowstatic.com/fp/ce13e72d70b7e1b7aa1a97b698c59374-p_e.jpg,,2.0,,USA,USD,3.0,True,
14,,,,"4950 S King Dr, Chicago, IL",,,,,,,,41.80432--87.61709,https://photos.zillowstatic.com/fp/64070e09744cb294f575a3a799df2d57-p_e.jpg,,,,,,,True,
15,,APARTMENT,,"3002 W Ainslie St APT 2S, Chicago, IL 60625",-1.0,1600.0,,-87.70405,41.9706,,FOR_RENT,2069892364,https://photos.zillowstatic.com/fp/743a326efad64ba9ac8f9f8b578461ff-p_e.jpg,850.0,1.0,,USA,USD,3.0,True,
16,,APARTMENT,,"6954 N Wolcott Ave #1, Chicago, IL 60626",-1.0,1995.0,,-87.67858,42.008152,,FOR_RENT,2065792737,https://photos.zillowstatic.com/fp/76474fd87ea2908bec6cd7da429e7b07-p_e.jpg,825.0,1.0,,USA,USD,3.0,True,
17,,APARTMENT,,"1057 W. Foster, 1057 W Foster Ave APT 3, Chicago, IL 60640",-1.0,2650.0,,-87.65719,41.97618,,FOR_RENT,2083485359,https://photos.zillowstatic.com/fp/88825d556861f96ba3ff974716b86207-p_e.jpg,1100.0,2.0,,USA,USD,3.0,True,
18,,APARTMENT,,"2639 W. 25th Street, 2639 W 25th St #1F, Chicago, IL 60608",-1.0,1200.0,,-87.691956,41.84624,,FOR_RENT,2065645277,https://photos.zillowstatic.com/fp/c01ce1a328fff137a9882d031c689954-p_e.jpg,,1.0,,USA,USD,1.0,True,
19,,APARTMENT,,"1701-03 North Kedzie Ave - 1703 - 1, 1703 N Kedzie Ave #1, Chicago, IL 60647",-1.0,3200.0,,-87.70658,41.91209,,FOR_RENT,2064154059,https://photos.zillowstatic.com/fp/e9b7709e700d1f858761bb5b104b8bcf-p_e.jpg,2000.0,3.0,,USA,USD,3.0,True,
20,,APARTMENT,,"1321 W Estes Ave #14, Chicago, IL 60626",-1.0,875.0,,-87.66374,42.011047,,FOR_RENT,2070888597,https://photos.zillowstatic.com/fp/b34419aa473109199cb2941403057d28-p_e.jpg,500.0,1.0,,USA,USD,0.0,True,
21,,,,"808 W Van Buren St, Chicago, IL",,,,,,,,41.876804--87.64745,https://photos.zillowstatic.com/fp/ff7857e34e4b4f2e5e0fb47f90586d86-p_e.jpg,,,,,,,True,
22,,APARTMENT,,"2707 N Washtenaw Ave APT 2, Chicago, IL 60647",-1.0,2450.0,,-87.69482,41.9306,,FOR_RENT,2094507996,https://photos.zillowstatic.com/fp/7576832c4f9831626ede05f8c947a16b-p_e.jpg,1500.0,2.0,,USA,USD,3.0,True,
23,,APARTMENT,,"1456 W 18th St APT 3R, Chicago, IL 60608",-1.0,2100.0,,-87.663506,41.8581,,FOR_RENT,2071978870,https://photos.zillowstatic.com/fp/b752a7b734bcfc4746407b984f4820de-p_e.jpg,1100.0,1.0,,USA,USD,2.0,True,
