,dateSold,propertyType,lotAreaValue,address,daysOnZillow,price,listingDateTime,longitude,latitude,contingentListingType,listingStatus,zpid,imgSrc,livingArea,bathrooms,lotAreaUnit,country,currency,bedrooms,hasImage,listingSubType
0,,APARTMENT,,"3643-45 N Greenview Ave, 3645 N Greenview Ave APT 3D, Chicago, IL 60613",-1.0,1320.0,,-87.66613,41.94836,,FOR_RENT,2084357245,https://photos.zillowstatic.com/fp/8b20692eaa6bbf4f4265daae32e1c5fb-p_e.jpg,625.0,1.0,,USA,USD,1.0,True,
1,,APARTMENT,,"8251 S Ellis Ave, 8251 S Ellis Ave #8261-3S, Chicago, IL 60619",-1.0,935.0,,-87.59963,41.744354,,FOR_RENT,2064730701,https://photos.zillowstatic.com/fp/ef862f9b03b041806cd3b484df6f31f5-p_e.jpg,600.0,1.0,,USA,USD,1.0,True,
2,,,,"2653 N Spaulding Ave, Chicago, IL",,,,,,,,41.929924--87.71051,https://photos.zillowstatic.com/fp/558018ce3424928a8bb74e4fe6ead5c1-p_e.jpg,,,,,,,True,
3,,,,"2443 N Western Ave, Chicago, IL",,,,,,,,41.847145--87.68516,https://photos.zillowstatic.com/fp/c85086f095c330083682a438a817dc17-p_e.jpg,,,,,,,True,
4,,APARTMENT,,"7317 S Chappel, 7317 S Chappel Ave UNIT 7321-3B, Chicago, IL 60649",-1.0,1035.0,,-87.57461,41.7619,,FOR_RENT,2072060133,https://photos.zillowstatic.com/fp/dca13358ac1aa99b32d3d1fab66a4e75-p_e.jpg,750.0,1.0,,USA,USD,1.0,True,
5,,,,"7643 S Stewart Ave, Chicago, IL",,,,,,,,41.75496--87.63413,https://photos.zillowstatic.com/fp/934c38df0e0d0df33a469ada4d4e9bba-p_e.jpg,,,,,,,True,
6,,APARTMENT,,"1734 E 72nd St, 1734 E 72nd St #1734-311, Chicago, IL 60649",-1.0,1270.0,,-87.58206,41.764515,,FOR_RENT,2085063932,https://photos.zillowstatic.com/fp/b71ba504278ddc93ad6c48bb42dd019f-p_e.jpg,725.0,1.0,,USA,USD,3.0,True,
7,,APARTMENT,,"6455 S Fairfield Ave, 6455 S Fairfield Ave #2716-1, Chicago, IL 60629",-1.0,1000.0,,-87.69185,41.775646,,FOR_RENT,2064146639,https://photos.zillowstatic.com/fp/bef4a021d145053334f1bbd238e8b399-p_e.jpg,550.0,1.0,,USA,USD,1.0,True,
8,,APARTMENT,,"1134-36 W Armitage Avenue, 1134 W Armitage Ave #11363, Chicago, IL 60614",-1.0,2700.0,,-87.65675,41.918232,,FOR_RENT,2064246881,https://photos.zillowstatic.com/fp/413e2f49f7ba0d48ddbe0b27ae6ce0f5-p_e.jpg,,1.0,,USA,USD,3.0,True,
9,,APARTMENT,,"7400 S Rhodes Ave, 7400 S Rhodes Ave #515-3, Chicago, IL 60619",-1.0,1245.0,,-87.61183,41.760105,,FOR_RENT,2064190129,https://photos.zillowstatic.com/fp/c9718ee6c280245d6539f0e9ca500687-p_e.jpg,896.0,1.0,,USA,USD,2.0,True,
