,dateSold,propertyType,lotAreaValue,address,daysOnZillow,price,listingDateTime,longitude,latitude,contingentListingType,listingStatus,zpid,listingSubType,imgSrc,livingArea,bathrooms,lotAreaUnit,country,currency,bedrooms,hasImage
0,,APARTMENT,,"5441 N East River Rd, Chicago, IL 60656",,1135,,,,,,,,,739,1,,,,1,
1,,APARTMENT,,"8439 W Catherine Ave APT 111, Chicago, IL 60656",,1205,,,,,,,,,700,1,,,,1,
2,,APARTMENT,,"5121 N East River Rd UNIT 1E, Chicago, IL 60656",,1195,,,,,,,,,,1,,,,1,
3,,APARTMENT,,"8510 W Catalpa Ave UNIT 2N, Chicago, IL 60656",,1175,,,,,,,,,700,1,,,,1,
4,,APARTMENT,,"8710 W Evelyn Ln APT 104, Chicago, IL 60656",,1500,,,,,,,,,900,2,,,,1,
5,,APARTMENT,,"8514 W Rascher Ave APT 3N, Chicago, IL 60656",,1250,,,,,,,,,1000,1,,,,2,
6,,APARTMENT,,"8518 W Catalpa Ave APT 2N, Chicago, IL 60656",,1100,,,,,,,,,,1,,,,1,
7,,APARTMENT,,"(Undisclosed Address), Chicago, IL 60656",,1500,,,,,,,,,800,1,,,,1,
8,,APARTMENT,,"8531 W Gregory St #1C, Chicago, IL 60656",,1150,,,,,,,,,640,1,,,,1,
9,,APARTMENT,,"8507 W Winnemac Ave APT 1, Chicago, IL 60656",,1800,,,,,,,,,1200,1.5,,,,3,
10,,APARTMENT,,"7052 W Higgins Ave #1, Chicago, IL 60656",,1995,,,,,,,,,1600,1,,,,3,
11,,APARTMENT,,"6518 N Nashville Ave, Chicago, IL 60631",,1425,,,,,,,,,1000,1,,,,2,
12,,APARTMENT,,"6874 N NW Highway, 6874 N Northwest Hwy, Chicago, IL 60631",,1555,,,,,,,,,,1,,,,2,
13,,APARTMENT,,"6454 N NW Highway, 6454 N Northwest Hwy, Chicago, IL 60631",,1245,,,,,,,,,,1,,,,1,
14,,APARTMENT,,"6468 N Northwest Hwy APT B2, Chicago, IL 60631",,1500,,,,,,,,,900,1,,,,2,
15,,APARTMENT,,"6462 N Northwest Hwy #104, Chicago, IL 60631",,1650,,,,,,,,,900,1,,,,2,
16,,APARTMENT,,"6677 N Northwest Hwy #2N, Chicago, IL 60631",,1200,,,,,,,,,800,1,,,,1,
17,,APARTMENT,,"6765 N Olmsted Ave UNIT 1B, Chicago, IL 60631",,1100,,,,,,,,,500,1,,,,1,
18,,Townhouse,,"5911 N Northwest Hwy #205, Chicago, IL 60631",,2150,,,,,,,,,1100,1,,,,3,
19,,SingleFamily,,"7929 W Bryn Mawr Ave, Chicago, IL 60631",,2900,,,,,,,,,2082,2.5,,,,3,
20,,APARTMENT,,"6669 W Devon Ave #G, Chicago, IL 60631",,1000,,,,,,,,,750,1,,,,1,
21,,APARTMENT,,"6244 N Harlem Ave APT 7A, Chicago, IL 60631",,1100,,,,,,,,,480,1,,,,1,
22,,APARTMENT,,"7159 W Hood Ave #1, Chicago, IL 60631",,1150,,,,,,,,,950,1,,,,1,
23,,APARTMENT,,"6490 N Northwest Hwy APT 3B, Chicago, IL 60631",,1550,,,,,,,,,900,1,,,,1,
24,,APARTMENT,,"6827 N Northwest Hwy APT 2, Chicago, IL 60631",,1795,,,,,,,,,1300,1,,,,2,
25,,Townhouse,,"5911 N Northwest Hwy #203, Chicago, IL 60631",,2150,,,,,,,,,1100,1,,,,3,
26,,APARTMENT,,"6545 N Natoma Ave #2, Chicago, IL 60631",,1695,,,,,,,,,1100,1,,,,3,
27,,APARTMENT,,"6771 N Olmsted Ave, Chicago, IL 60631",,1350,,,,,,,,,920,1,,,,1,
28,,SingleFamily,,"7739 W Bryn Mawr Ave, Chicago, IL 60631",,2200,,,,,,,,,1250,2,,,,2,
29,,APARTMENT,,"6107 N Cicero Ave APT 7, Chicago, IL 60646",,900,,,,,,,,,500,1,,,,1,
30,,APARTMENT,,"5719 N McVicker Ave #1, Chicago, IL 60646",,1800,,,,,,,,,1100,1,,,,2,
31,,APARTMENT,,"5929 N Merrimac Ave #1, Chicago, IL 60646",,1500,,,,,,,,,,1,,,,2,
32,,APARTMENT,,"6250 W Raven St #BASEMENT, Chicago, IL 60646",,1100,,,,,,,,,800,1,,,,1,
33,,APARTMENT,,"6160 W Thorndale Ave, Chicago, IL 60646",,1550,,,,,,,,,1150,1,,,,2,
34,,APARTMENT,,"6319 N Louise Ave #1, Chicago, IL 60646",,2800,,,,,,,,,2000,2,,,,3,
35,,APARTMENT,,"(Undisclosed Address), Chicago, IL 60646",,1650,,,,,,,,,,1,,,,1,
36,,APARTMENT,,"5859 N Elston Ave APT 1, Chicago, IL 60646",,1275,,,,,,,,,1000,1,,,,2,
37,,APARTMENT,,"6059 N Sauganash Ave #1, Chicago, IL 60646",,1400,,,,,,,,,1000,1,,,,1,
38,,APARTMENT,,"6756 N Sauganash Ave #GS, Chicago, IL 60646",,1125,,,,,,,,,750,1,,,,1,
39,,APARTMENT,,"(Undisclosed Address), Chicago, IL 60646",,1100,,,,,,,,,1000,1,,,,1,
40,,APARTMENT,,"5627 N Central Ave #2, Chicago, IL 60646",,1800,,,,,,,,,1100,2,,,,2,
41,,APARTMENT,,"5860 N Merrimac Ave APT 2, Chicago, IL 60646",,2300,,,,,,,,,,1.5,,,,3,
42,,APARTMENT,,"5701 N Meade Ave #2, Chicago, IL 60646",,1500,,,,,,,,,900,1,,,,2,
43,,APARTMENT,,"(Undisclosed Address), Chicago, IL 60646",,1195,,,,,,,,,1100,1,,,,2,
44,,APARTMENT,,"4440 N Laporte Ave, Chicago, IL 60630",,1200,,,,,,,,,750,1,,,,2,
45,,APARTMENT,,"5946 W Leland Ave #2, Chicago, IL 60630",,2100,,,,,,,,,,2,,,,3,
46,,APARTMENT,,"Linder/Lawrence, 4804 N Linder Ave, Chicago, IL 60630",,895,,,,,,,,,400,1,,,,1,
47,,APARTMENT,,"4932 N Kentucky Ave UNIT 1, Chicago, IL 60630",,1900,,,,,,,,,1400,1,,,,3,
48,,APARTMENT,,"5325 W Winnemac Ave #1F, Chicago, IL 60630",,1050,,,,,,,,,600,1,,,,1,
49,,APARTMENT,,"5312 W Foster Ave #3, Chicago, IL 60630",,1600,,,,,,,,,1200,1,,,,2,
50,,APARTMENT,,"5453 W Leland Ave #3, Chicago, IL 60630",,1150,,,,,,,,,650,1,,,,1,
51,,APARTMENT,,"5205 W Agatite Ave #1, Chicago, IL 60630",,1595,,,,,,,,,1100,1,,,,2,
52,,APARTMENT,,"4727 N Kostner Ave #2, Chicago, IL 60630",,1450,,,,,,,,,1100,1,,,,2,
53,,APARTMENT,,"5248 W Winnemac Ave, Chicago, IL 60630",,1000,,,,,,,,,800,1,,,,1,
54,,APARTMENT,,"5517 N Central Ave #B, Chicago, IL 60630",,1400,,,,,,,,,900,1,,,,2,
55,,APARTMENT,,"5100 W Winnemac Ave UNIT 2, Chicago, IL 60630",,1500,,,,,,,,,800,1,,,,2,
56,,APARTMENT,,"5034 W Argyle St #1, Chicago, IL 60630",,2400,,,,,,,,,850,1,,,,2,
57,,APARTMENT,,"4422 N Cicero Ave #1, Chicago, IL 60630",,1300,,,,,,,,,600,1,,,,2,
58,,APARTMENT,,"4022 W. Montrose Ave, # 3, 4022 W Montrose Ave, Chicago, IL 60630",,995,,,,,,,,,750,1,,,,1,
59,,APARTMENT,,"4948 N Lester Ave, Chicago, IL 60630",,875,,,,,,,,,700,1,,,,1,
60,,APARTMENT,,"4948 N Lester Ave, Chicago, IL 60630",,1500,,,,,,,,,1500,1,,,,2,
61,,APARTMENT,,"4607 N Kennicott Ave #2, Chicago, IL 60630",,1700,,,,,,,,,1000,1,,,,3,
62,,APARTMENT,,"5629 W Higgins Ave, Chicago, IL 60630",,2450,,,,,,,,,1800,3,,,,3,
63,,APARTMENT,,"(Undisclosed Address), Chicago, IL 60630",,1475,,,,,,,,,1100,1,,,,2,
64,,APARTMENT,,"4588 N Elston Ave APT 107, Chicago, IL 60630",,925,,,,,,,,,400,1,,,,1,
