,dateSold,propertyType,lotAreaValue,address,daysOnZillow,price,listingDateTime,longitude,latitude,contingentListingType,listingStatus,zpid,listingSubType,imgSrc,livingArea,bathrooms,lotAreaUnit,country,currency,bedrooms,hasImage
0,,APARTMENT,,"2516 N Kedzie Blvd APT 2W, Chicago, IL 60647",-1,1950,,-87.70812,41.927246,,FOR_RENT,2126625154,,https://photos.zillowstatic.com/fp/abd99def209046f950df93f1983273e1-p_e.jpg,900,1,,USA,USD,2,TRUE
1,,APARTMENT,,"2418 N Sawyer Ave APT 1E, Chicago, IL 60647",-1,2095,,-87.709785,41.925537,,FOR_RENT,2126197331,,https://photos.zillowstatic.com/fp/abd99def209046f950df93f1983273e1-p_e.jpg,962,1,,USA,USD,2,TRUE
2,,CONDO,7800,"4621 N Malden St #3S, Chicago, IL 60640",-1,2400,,-87.6621,41.966045,,FOR_RENT,3705362,,https://photos.zillowstatic.com/fp/67a9b815fbab6f4bd932f9723b06cec4-p_e.jpg,1200,2,sqft,USA,USD,2,TRUE
3,,,,"732 W Grace St, Chicago, IL",,,,,,,,41.9515--87.649315,,https://photos.zillowstatic.com/fp/1f4e9a61899052c13fd2fb6ad0ee444c-p_e.jpg,,,,,,,TRUE
4,,APARTMENT,,"2246 S Albany Ave #2R, Chicago, IL 60623",-1,1200,,-87.70312,41.850395,,FOR_RENT,2064122375,,https://photos.zillowstatic.com/fp/6988bfd0ee5f8952645656532b0d4615-p_e.jpg,574,1,,USA,USD,1,TRUE
5,,,,"2019 N Hoyne Ave, Chicago, IL",,,,,,,,41.9183--87.67972,,https://photos.zillowstatic.com/fp/29e056f9665e4af588336cb72b4c4d9f-p_e.jpg,,,,,,,TRUE
6,,,,"5032-38 N Wolcott Ave, Chicago, IL",,,,,,,,41.973534--87.67675,,https://photos.zillowstatic.com/fp/3932c9dc666f83456356656d0fbf42b8-p_e.jpg,,,,,,,TRUE
7,,,,"2300 S Michigan Ave, Chicago, IL",,,,,,,,41.85085--87.62393,,https://photos.zillowstatic.com/fp/c539484f1c52b9210a9a2e62a4904c87-p_e.jpg,,,,,,,TRUE
8,,APARTMENT,,"7361 N Ashland Blvd #2, Chicago, IL 60626",-1,1550,,-87.670044,42.01568,,FOR_RENT,2064123347,,https://photos.zillowstatic.com/fp/1a9f7fa29fcfe934a3e54d62ef934cf7-p_e.jpg,,1,,USA,USD,1,TRUE
9,,,,"750 N Rush St, Chicago, IL",,,,,,,,41.896275--87.62587,,https://photos.zillowstatic.com/fp/16135da82451705d178e02558c62e7d0-p_e.jpg,,,,,,,TRUE
10,,APARTMENT,,"4615-27 N. Ashland Ave., 4615 N Ashland Ave #4627-1W, Chicago, IL 60640",-1,1225,,-87.66888,41.965946,,FOR_RENT,2067546893,,https://photos.zillowstatic.com/fp/97321768c66ff3aad9ea6a6d174a6f8d-p_e.jpg,,1,,USA,USD,1,TRUE
11,,,,"537 W Melrose St, Chicago, IL",,,,,,,,41.940823--87.64342,,https://photos.zillowstatic.com/fp/e7c5c4e5b551897d7a43c3db65bce392-p_e.jpg,,,,,,,TRUE
12,,APARTMENT,,"1049 West Oakdale, 1049 W Oakdale Ave, Chicago, IL 60657",-1,1119,,-87.655876,41.935062,,FOR_RENT,2103280124,,https://photos.zillowstatic.com/fp/6ce601c7529a43bc8c8bbb4975a11389-p_e.jpg,,1,,USA,USD,0,TRUE
13,,,,"525 W Deming Pl, Chicago, IL",,,,,,,,41.927757--87.64292,,https://photos.zillowstatic.com/fp/4218d5273ebf1958c940f90ee6f8bf11-p_e.jpg,,,,,,,TRUE
14,,,,"1035 W Van Buren St, Chicago, IL",,,,,,,,41.876347--87.65366,,https://photos.zillowstatic.com/fp/443a6fcd2ad124ae981a333d0376e34a-p_e.jpg,,,,,,,TRUE
15,,,,"7850 S Constance Ave, Chicago, IL",,,,,,,,41.75178--87.57988,,https://photos.zillowstatic.com/fp/f2bf185692000014d820f98fddc2cc22-p_e.jpg,,,,,,,TRUE
16,,,,"1210 N State Pkwy, Chicago, IL",,,,,,,,41.90431--87.62906,,https://photos.zillowstatic.com/fp/d3b0226f556a24d351b43b4be138ac13-p_e.jpg,,,,,,,TRUE
17,,,,"333 E Ontario St, Chicago, IL",,,,,,,,41.893204--87.61872,,https://photos.zillowstatic.com/fp/92bb57a007f8f7493c20e2da36cedaa7-p_e.jpg,,,,,,,TRUE
18,,,,"2039 N Fremont St, Chicago, IL",,,,,,,,41.91932--87.650734,,https://photos.zillowstatic.com/fp/9c9158a480ab9891d999b0279441f013-p_e.jpg,,,,,,,TRUE
19,,,,"2970 N Sheridan Rd, Chicago, IL",,,,,,,,41.936287--87.63982,,https://photos.zillowstatic.com/fp/2d8c707222f5b5859460c31c85da67e8-p_e.jpg,,,,,,,TRUE
20,,,,"949 W Dakin St, Chicago, IL",,,,,,,,41.95329--87.65417,,https://photos.zillowstatic.com/fp/73afe196486d56dc9777e8cb517b8c15-p_e.jpg,,,,,,,TRUE
21,,,,"441 W Barry Ave, Chicago, IL",,,,,,,,41.937412--87.64105,,https://photos.zillowstatic.com/fp/d8198761ab460d10da00d1f23ecf0f47-p_e.jpg,,,,,,,TRUE
22,,,,"718 W Irving Park Rd, Chicago, IL",,,,,,,,41.954998--87.64885,,https://photos.zillowstatic.com/fp/01d95126d95ab45be672b548767e1e5b-p_e.jpg,,,,,,,TRUE
23,,APARTMENT,,"5822 N. Western Ave., 5822 N Western Ave APT 2C, Chicago, IL 60659",-1,1550,,-87.68981,41.987606,,FOR_RENT,2097256621,,https://photos.zillowstatic.com/fp/834b0af27ffc90f93978c4b2ab610478-p_e.jpg,750,1,,USA,USD,2,TRUE
24,,,,"169 W Huron St, Chicago, IL",,,,,,,,41.894794--87.633705,,https://photos.zillowstatic.com/fp/6d022c469be9504ab576988bee74809a-p_e.jpg,,,,,,,TRUE
25,,,,"2155 N Elston Ave, Chicago, IL",,,,,,,,41.921368--87.67117,,https://photos.zillowstatic.com/fp/f9017d481b95465d500bcd8342dd0496-p_e.jpg,,,,,,,TRUE
26,,,,"200 E Chestnut St, Chicago, IL",,,,,,,,41.89871--87.62142,,https://photos.zillowstatic.com/fp/96228f7b61b1883158ca7cf726a46197-p_e.jpg,,,,,,,TRUE
27,,,,"1225 N Wells St, Chicago, IL",,,,,,,,41.90541--87.63408,,https://photos.zillowstatic.com/fp/bb0515a5f7b4765894678897acde6682-p_e.jpg,,,,,,,TRUE
28,,APARTMENT,,"5501 S. Cornell, 5501 S Cornell Ave #2, Chicago, IL 60637",-1,1150,,-87.585236,41.79505,,FOR_RENT,2064285105,,https://photos.zillowstatic.com/fp/68527c8234d1a75ec5719a5521f57f02-p_e.jpg,450,1,,USA,USD,0,TRUE
