,dateSold,propertyType,lotAreaValue,address,daysOnZillow,price,listingDateTime,longitude,latitude,contingentListingType,listingStatus,zpid,listingSubType,imgSrc,livingArea,bathrooms,lotAreaUnit,country,currency,bedrooms,hasImage
0,,APARTMENT,0.260215794,"701 S Wells St APT 1405, Chicago, IL 60607",-1,3400,,-87.63335,41.873028,,FOR_RENT,63702805,,https://photos.zillowstatic.com/fp/5991588615299378c78a907708de0f3c-p_e.jpg,1263,2,acres,USA,USD,2,TRUE
1,,,,"717 S Clark St, Chicago, IL",,,,,,,,41.873215--87.63032,,https://photos.zillowstatic.com/fp/22a321c2af5d5e1638abaa7f90d981ee-p_e.jpg,,,,,,,TRUE
2,,APARTMENT,,"1221-31 W. Chase Ave, 1221 W Chase Ave #1225-F1, Chicago, IL 60626",-1,1175,,-87.66274,42.01368,,FOR_RENT,2070330351,,https://photos.zillowstatic.com/fp/6f3988923421ce3e3faa7d147f27c6f5-p_e.jpg,,1,,USA,USD,1,TRUE
3,,,,"215 W Lake St, Chicago, IL",,,,,,,,41.88538--87.6344,,https://photos.zillowstatic.com/fp/06f6bb70648c9abae6072f86008240b1-p_e.jpg,,,,,,,TRUE
4,,APARTMENT,,"5401-5403 S. Woodlawn Avenue, 5401-5403 S Woodlawn Ave #1211-2, Chicago, IL 60615",-1,2400,,-87.59663,41.79999,,FOR_RENT,2071210866,,https://photos.zillowstatic.com/fp/71a94adf28c6b9888fa6b14ac939e3a1-p_e.jpg,813,1,,USA,USD,3,TRUE
5,,,,"5535 S Kimbark Ave, Chicago, IL",,,,,,,,41.7952--87.5949,,https://photos.zillowstatic.com/fp/a2a09cb90fac164da462cd01906620c7-p_e.jpg,,,,,,,TRUE
6,,,,"1122 W Chicago Ave, Chicago, IL",,,,,,,,41.896626--87.65601,,https://photos.zillowstatic.com/fp/67c1a7ed4a6da752de4472027b7ee834-p_e.jpg,,,,,,,TRUE
7,,APARTMENT,,"544 N Wells St #3, Chicago, IL 60654",-1,2750,,-87.63444,41.89219,,FOR_RENT,2064135501,,https://photos.zillowstatic.com/fp/867ef790536953134d8412a803f08a10-p_e.jpg,,2,,USA,USD,2,TRUE
8,,APARTMENT,,"2056 W. Division St., 2056 W Division St APT 2E, Chicago, IL 60622",-1,2395,,-87.6795,41.903374,,FOR_RENT,2112084942,,https://photos.zillowstatic.com/fp/e374aa3ec325462cebe5152f8c413440-p_e.jpg,1100,1,,USA,USD,2,TRUE
9,,,,"108 W Chicago Ave, Chicago, IL",,,,,,,,41.896763--87.631905,,https://photos.zillowstatic.com/fp/d5dca834629d06ebc1add2b2b7d830d8-p_e.jpg,,,,,,,TRUE
10,,APARTMENT,,"2117-19 W. Washington Blvd., 2117 W Washington Blvd #2119-2W, Chicago, IL 60612",-1,1795,,-87.679855,41.88284,,FOR_RENT,2079950301,,https://photos.zillowstatic.com/fp/94697ee900d68837ac57244954a08399-p_e.jpg,,2,,USA,USD,2,TRUE
11,,,,"5756-58 S Kenwood Ave, Chicago, IL",,,,,,,,41.78981--87.59344,,https://photos.zillowstatic.com/fp/e63e73596c85f6b0cc2284abec82d4cc-p_e.jpg,,,,,,,TRUE
12,,,,"5432 S Woodlawn Ave, Chicago, IL",,,,,,,,41.796795--87.59701,,https://photos.zillowstatic.com/fp/b2a8356e543d8eab17a333f70bb88208-p_e.jpg,,,,,,,TRUE
