,dateSold,propertyType,lotAreaValue,address,daysOnZillow,price,listingDateTime,longitude,latitude,contingentListingType,listingStatus,zpid,listingSubType,imgSrc,livingArea,bathrooms,lotAreaUnit,country,currency,bedrooms,hasImage
0,,APARTMENT,0.285169881,"3001 W Gunnison St, 3003 W Gunnison St APT 2N, Chicago, IL 60625",-1,1295,,-87.7039,41.96914,,FOR_RENT,89956026,,https://photos.zillowstatic.com/fp/409f57622bfdfafe2477c97531862225-p_e.jpg,,1,acres,USA,USD,1,TRUE
1,,,,"512 W Cornelia Ave, Chicago, IL",,,,,,,,41.94675--87.64333,,https://photos.zillowstatic.com/fp/5cc73c52722bafd69dd9fccf5ac88689-p_e.jpg,,,,,,,TRUE
2,,,,"450 W Melrose St, Chicago, IL",,,,,,,,41.9415--87.641655,,https://photos.zillowstatic.com/fp/ce765be798123bdf51aea6b76782602b-p_e.jpg,,,,,,,TRUE
3,,,,"6100 N Winthrop Ave, Chicago, IL",,,,,,,,41.99245--87.65847,,https://photos.zillowstatic.com/fp/a2a4f6af07ba8cd7c38591a658c4b434-p_e.jpg,,,,,,,TRUE
4,,,,"2340 N California Ave, Chicago, IL",,,,,,,,41.92408--87.6978,,https://photos.zillowstatic.com/fp/76f564af83a135197bc2554728eaeecd-p_e.jpg,,,,,,,TRUE
5,,APARTMENT,,"Cornell Terrace, 5430 S Cornell Ave APT 202, Chicago, IL 60615",-1,1275,,-87.586006,41.79715,,FOR_RENT,2083931086,,https://photos.zillowstatic.com/fp/65b717888cc6b9d877765a5405b727ae-p_e.jpg,415,1,,USA,USD,1,TRUE
6,,,,"1000 N Lasalle Dr, Chicago, IL",,,,,,,,41.901283--87.63322,,https://photos.zillowstatic.com/fp/bbabf52b6be83cdb7f710029d701d96a-p_e.jpg,,,,,,,TRUE
7,,,,"3610 N Pine Grove Ave, Chicago, IL",,,,,,,,41.95424--87.649254,,https://photos.zillowstatic.com/fp/91edba435e0dbffff505e3f84dc1bb59-p_e.jpg,,,,,,,TRUE
8,,,,"4700 S Lake Park Ave, Chicago, IL",,,,,,,,41.809177--87.59248,,https://photos.zillowstatic.com/fp/29a243ee93e1e736ebc49d10803dc214-p_e.jpg,,,,,,,TRUE
9,,,,"4615 N Malden St, Chicago, IL",,,,,,,,41.965916--87.66209,,https://photos.zillowstatic.com/fp/91ce77587b0713a6b5aae7b835adfe2c-p_e.jpg,,,,,,,TRUE
10,,,,"3334-3344 W Ainslie St, Chicago, IL",,,,,,,,41.970367--87.71249,,https://photos.zillowstatic.com/fp/7346360086c2228942f3a3a99529bbbb-p_e.jpg,,,,,,,TRUE
11,,,,"4545 N Beacon St, Chicago, IL",,,,,,,,41.96487--87.66338,,https://photos.zillowstatic.com/fp/7c7e1d135e79d52a47faf8ec7190a520-p_e.jpg,,,,,,,TRUE
12,,,,"3655-3657 N Bosworth Ave, Chicago, IL",,,,,,,,41.948685--87.66735,,https://photos.zillowstatic.com/fp/2070dac1d673e5d69bbf660572361e99-p_e.jpg,,,,,,,TRUE
13,,,,"1228-1234 W Carmen Ave, Chicago, IL",,,,,,,,41.97427--87.67201,,https://photos.zillowstatic.com/fp/7fce3ee5c33a962619212626ecf70c7d-p_e.jpg,,,,,,,TRUE
