,dateSold,propertyType,lotAreaValue,address,daysOnZillow,price,listingDateTime,longitude,latitude,contingentListingType,listingStatus,zpid,listingSubType,imgSrc,livingArea,bathrooms,lotAreaUnit,country,currency,bedrooms,hasImage
0,,,,"220 E Illinois St, Chicago, IL",,,,,,,,41.891125--87.62142,,https://photos.zillowstatic.com/fp/3407cb4786204e42e5e73e65b640ee96-p_e.jpg,,,,,,,True
1,,APARTMENT,,"5437-47 S. Harper Ave., 5437-47 S Harper Ave #54472, Chicago, IL 60615",-1.0,2395.0,,-87.58889,41.796997,,FOR_RENT,2067985285,,https://photos.zillowstatic.com/fp/30bd066a383716659d44af9beca8f083-p_e.jpg,,2.0,,USA,USD,3.0,True
2,,,,"1135 W Sheridan Rd, Chicago, IL",,,,,,,,41.99806--87.660065,,https://photos.zillowstatic.com/fp/bb8e545f947adc5172be44dbcf383480-p_e.jpg,,,,,,,True
3,,,,"445 E Ohio St, Chicago, IL",,,,,,,,41.892284--87.616295,,https://photos.zillowstatic.com/fp/0de73869e3bb54a0a59c3d6bda1a7d0c-p_e.jpg,,,,,,,True
4,,,,"2555 N Clark St, Chicago, IL",,,,,,,,41.929752--87.642235,,https://photos.zillowstatic.com/fp/da71e44f5ae3ec16b1991ffeafda36c2-p_e.jpg,,,,,,,True
5,,,,"400 N McClurg Ct, Chicago, IL",,,,,,,,41.88913--87.61802,,https://photos.zillowstatic.com/fp/6c7d1b9fb9ec80e712a3a67068f6a94f-p_e.jpg,,,,,,,True
6,,,,"601 W Jackson Blvd, Chicago, IL",,,,,,,,41.87773--87.64295,,https://photos.zillowstatic.com/fp/aca83bdf7ef60c1b8ea72cf37046c308-p_e.jpg,,,,,,,True
7,,,,"5631-39 S Kenwood Ave, Chicago, IL",,,,,,,,41.792305--87.59297,,https://photos.zillowstatic.com/fp/0990d39c307495a1adbc8a4670765f70-p_e.jpg,,,,,,,True
8,,,,"2851 S King Dr, Chicago, IL",,,,,,,,41.842754--87.616425,,https://photos.zillowstatic.com/fp/8da46e937ed16caa674ecbe986d4f82f-p_e.jpg,,,,,,,True
9,,,,"1140 S Wabash Ave, Chicago, IL",,,,,,,,41.867912--87.62589,,https://photos.zillowstatic.com/fp/4a2d7a3ae8afe0cedf22c4d01790c267-p_e.jpg,,,,,,,True
