,dateSold,propertyType,lotAreaValue,address,daysOnZillow,price,listingDateTime,longitude,latitude,contingentListingType,listingStatus,zpid,listingSubType,imgSrc,livingArea,bathrooms,lotAreaUnit,country,currency,bedrooms,hasImage
0,,APARTMENT,,"2612 W Gunnison St APT 2F, Chicago, IL 60625",-1,1250,,-87.694565,41.96979,,FOR_RENT,2098477541,,https://photos.zillowstatic.com/fp/9ac718c9b42a0ff98ffd23a5a8a5d28e-p_e.jpg,750,1,,USA,USD,1,TRUE
1,,APARTMENT,,"(undisclosed Address), Chicago, IL 60660",-1,1150,,,,,FOR_RENT,2064108087,,https://photos.zillowstatic.com/fp/5f3e7f04096c783ec10d4fcbf85f2bd9-p_e.jpg,,1,,USA,USD,1,TRUE
2,,APARTMENT,,"(undisclosed Address), Chicago, IL 60660",-1,1095,,,,,FOR_RENT,2064108122,,https://photos.zillowstatic.com/fp/7fe8c37d969bb09f68cdb6bd72f2ad16-p_e.jpg,700,1,,USA,USD,0,TRUE
3,,,,"508 W Diversey Pkwy, Chicago, IL",,,,,,,,41.93315--87.641815,,https://photos.zillowstatic.com/fp/577722f108354df9b733575a3f48fb52-p_e.jpg,,,,,,,TRUE
4,,APARTMENT,,"2315 N Southport Ave #CH1, Chicago, IL 60614",-1,1475,,-87.662926,41.923916,,FOR_RENT,2100091368,,https://photos.zillowstatic.com/fp/45cda6e613586f54121845b505dd4087-p_e.jpg,735,1,,USA,USD,1,TRUE
5,,APARTMENT,,"Woodland Park by the Lake, 606 E Woodland Park Ave APT 512, Chicago, IL 60616",-1,2795,,-87.610756,41.832718,,FOR_RENT,2081554717,,https://photos.zillowstatic.com/fp/fc2256b4db2b8209c7bef4caafcf4686-p_e.jpg,1450,2.5,,USA,USD,3,TRUE
6,,,,"420 E Ohio St, Chicago, IL",,,,,,,,41.892864--87.616516,,https://photos.zillowstatic.com/fp/36ae38701c81b383d8603f064603d1c5-p_e.jpg,,,,,,,TRUE
7,,,,"347 W Chestnut St, Chicago, IL",,,,,,,,41.897915--87.63772,,https://photos.zillowstatic.com/fp/6cd3e6441dcee8488b1a1f97988ebb0b-p_e.jpg,,,,,,,TRUE
8,,,,"60 E Randolph St, Chicago, IL",,,,,,,,41.885017--87.625984,,https://photos.zillowstatic.com/fp/9e5faf42ea134f603e6e04211aa3136c-p_e.jpg,,,,,,,TRUE
9,,,,"855 W Madison St, Chicago, IL",,,,,,,,41.881775--87.64911,,https://photos.zillowstatic.com/fp/6bee10d1829cd76c2fd9c384a649d7ca-p_e.jpg,,,,,,,TRUE
10,,,,"1936 N Clark St, Chicago, IL",,,,,,,,41.91752--87.635796,,https://photos.zillowstatic.com/fp/2f79435513c6d4dfd77dddc29504ea96-p_e.jpg,,,,,,,TRUE
11,,,,"441 E Erie St, Chicago, IL",,,,,,,,41.89391--87.61649,,https://photos.zillowstatic.com/fp/0ada38ced6e9ec231f5faed1c8caeb84-p_e.jpg,,,,,,,TRUE
12,,APARTMENT,,"4901 S Drexel Blvd, 4901 S Drexel Blvd #314, Chicago, IL 60615",-1,1025,,-87.60331,41.805634,,FOR_RENT,2073111791,,https://photos.zillowstatic.com/fp/e579d8156666ce9b5941d5529c76b426-p_e.jpg,525,1,,USA,USD,0,TRUE
13,,,,"7801 S Kingston Ave, Chicago, IL",,,,,,,,41.753338--87.56228,,https://photos.zillowstatic.com/fp/48338bb7dc81bf140119c71cb3ff4ca5-p_e.jpg,,,,,,,TRUE
14,,APARTMENT,,"211-17 E 71st, 211 E 71st St #215-103, Chicago, IL 60619",-1,905,,-87.6195,41.76549,,FOR_RENT,2064108643,,https://photos.zillowstatic.com/fp/a7606be1b3467f4831b702239ff2a37d-p_e.jpg,500,1,,USA,USD,1,TRUE
15,,,,"1400 W Randolph St, Chicago, IL",,,,,,,,41.88442--87.6625,,https://photos.zillowstatic.com/fp/c549fa67843997aa5ba06d51ad6ef3d2-p_e.jpg,,,,,,,TRUE
16,,APARTMENT,,"8241-49 S Ellis Ave, 8241 S Ellis Ave #8245-2A, Chicago, IL 60619",-1,1110,,-87.599625,41.7446,,FOR_RENT,2064108720,,https://photos.zillowstatic.com/fp/e6200522c7835211d2d53f8a3a39547a-p_e.jpg,700,1,,USA,USD,2,TRUE
17,,APARTMENT,,"8000-04 S Drexel Ave, 8000 S Drexel Ave #857-2, Chicago, IL 60619",-1,925,,-87.60288,41.749344,,FOR_RENT,2067650316,,https://photos.zillowstatic.com/fp/de8fed76f8fdd9cf24f74e217f5af68d-p_e.jpg,625,1,,USA,USD,1,TRUE
18,,APARTMENT,,"7956 S Aberdeen St, 7956 S Aberdeen St #1110-1, Chicago, IL 60620",-1,1200,,-87.65155,41.74893,,FOR_RENT,2071570917,,https://photos.zillowstatic.com/fp/6ed4197bff1e28b106ae0396faec6f15-p_e.jpg,851,1,,USA,USD,2,TRUE
19,,,,"633 W North Ave, Chicago, IL",,,,,,,,41.910854--87.645065,,https://photos.zillowstatic.com/fp/f5d9b9685dac653aeadf10d4e8f52ee5-p_e.jpg,,,,,,,TRUE
20,,,,"1130 N Dearborn St, Chicago, IL",,,,,,,,41.902912--87.63024,,https://photos.zillowstatic.com/fp/392f39359b8a15c4eb7dad614f6d8224-p_e.jpg,,,,,,,TRUE
21,,,,"4151-57 W Cullom Ave, Harwood Heights, IL",,,,,,,,41.959084--87.7317,,https://photos.zillowstatic.com/fp/5fd9a45a2a3a857307525abb3de35c76-p_e.jpg,,,,,,,TRUE
22,,,,"833 W Buena Ave, Chicago, IL",,,,,,,,41.958115--87.651085,,https://photos.zillowstatic.com/fp/70834fc445d69f955db8dfee9fbb3a50-p_e.jpg,,,,,,,TRUE
23,,,,"1220 W Jackson Blvd, Chicago, IL",,,,,,,,41.87801--87.65843,,https://photos.zillowstatic.com/fp/03699c66edba2ee22e55369c404f0ce4-p_e.jpg,,,,,,,TRUE
24,,APARTMENT,,"1940 W Addison St #2E, Chicago, IL 60613",-1,2500,,-87.67783,41.94715,,FOR_RENT,2077391808,,https://photos.zillowstatic.com/fp/d87c5b589e1e4718ce1af189d8510bb4-p_e.jpg,1180,1,,USA,USD,2,TRUE
25,,,,"734 W Sheridan Rd, Chicago, IL",,,,,,,,41.95281--87.64918,,https://photos.zillowstatic.com/fp/ba34f4c9c4c6919495322da1475c8dc2-p_e.jpg,,,,,,,TRUE
26,,,,"455 E Waterside Dr, Chicago, IL",,,,,,,,41.886913--87.615364,,https://photos.zillowstatic.com/fp/a8958b716a59bfc711f4a2268a8ddc9d-p_e.jpg,,,,,,,TRUE
27,,APARTMENT,,"707-709 West Briar Place - 2E, 707 W Briar Pl, Chicago, IL 60657",-1,1900,,-87.64725,41.93884,,FOR_RENT,2076942631,,https://photos.zillowstatic.com/fp/118b8631abbfd4327326ae5c71ad8ac1-p_e.jpg,1500,1,,USA,USD,3,TRUE
28,,,,"343 S Dearborn St, Chicago, IL",,,,,,,,41.877197--87.62899,,https://photos.zillowstatic.com/fp/478f0c3eb55c19fcc282a197ee1acc2e-p_e.jpg,,,,,,,TRUE
29,,,,"1922 W Ogden Ave, Chicago, IL",,,,,,,,41.874355--87.67466,,https://photos.zillowstatic.com/fp/c49963526cf0e31c0592dc7158ed7fad-p_e.jpg,,,,,,,TRUE
30,,,,"545 N McClurg Ct, Chicago, IL",,,,,,,,41.892174--87.61717,,https://photos.zillowstatic.com/fp/aefdccbfbb6bae2d155da6c8b53197f7-p_e.jpg,,,,,,,TRUE
31,,,,"353 N Desplaines St, Chicago, IL",,,,,,,,41.888653--87.643814,,https://photos.zillowstatic.com/fp/1def91462d5ae6df38fa37ff9c989a6c-p_e.jpg,,,,,,,TRUE
32,,,,"1210 W Granville Ave, Chicago, IL",,,,,,,,41.994827--87.660995,,https://photos.zillowstatic.com/fp/6556bc80d8ca73b1920bbd4e7b876b3b-p_e.jpg,,,,,,,TRUE
33,,,,"5908-5920 W 55th St, Chicago, IL",,,,,,,,41.79235--87.78005,,https://photos.zillowstatic.com/fp/2e27b8ca6f4a93260210708d49882c0f-p_e.jpg,,,,,,,TRUE
34,,,,"1255 S Michigan Ave, Chicago, IL",,,,,,,,41.866238--87.623634,,https://photos.zillowstatic.com/fp/06c2835dc0bbebd7ca5ea7bfa8e67554-p_e.jpg,,,,,,,TRUE
35,,APARTMENT,,"907 W Addison St #G, Chicago, IL 60613",-1,1750,,-87.65229,41.94706,,FOR_RENT,2064110319,,https://photos.zillowstatic.com/fp/d5620f3619414caf58efd5b1643f1450-p_e.jpg,,1,,USA,USD,2,TRUE
36,,,,"205 S Peoria St, Chicago, IL",,,,,,,,41.87901--87.64938,,https://photos.zillowstatic.com/fp/f500673c648890bf70130b92ac3ba24a-p_e.jpg,,,,,,,TRUE
37,,,,"2625 N Clark St, Chicago, IL",,,,,,,,41.930595--87.643234,,https://photos.zillowstatic.com/fp/f6560ce4108fb54eaa5e0671d9b00c23-p_e.jpg,,,,,,,TRUE
38,,,,"1201 N Clark St, Chicago, IL",,,,,,,,41.904163--87.630936,,https://photos.zillowstatic.com/fp/051ef9ed023e2dd2ca00a79113f38e7d-p_e.jpg,,,,,,,TRUE
39,,,,"1025 W Addison St, Chicago, IL",,,,,,,,41.947033--87.654686,,https://photos.zillowstatic.com/fp/9ae9755938e2552a8bc95a6212f525d2-p_e.jpg,,,,,,,TRUE
