,dateSold,propertyType,lotAreaValue,address,daysOnZillow,price,listingDateTime,longitude,latitude,contingentListingType,listingStatus,zpid,imgSrc,livingArea,bathrooms,lotAreaUnit,country,currency,bedrooms,hasImage,listingSubType
0,,APARTMENT,,"1254 N Greenview Ave, Chicago, IL 60642",-1.0,2600.0,,-87.6654,41.90504,,FOR_RENT,2108887454,https://photos.zillowstatic.com/fp/86c9206b9c65b161308b3532ece22bb3-p_e.jpg,1000.0,2.0,,USA,USD,2.0,True,
1,,APARTMENT,,"1154 E 67th St UNIT 1, Chicago, IL 60637",-1.0,1295.0,,-87.596405,41.773376,,FOR_RENT,2064150956,https://photos.zillowstatic.com/fp/f0bb3b5b4b2278219365b9f5123d22a6-p_e.jpg,,1.0,,USA,USD,2.0,True,
2,,APARTMENT,,"2 bed, 1270 sqft, $2,874, 2847 N Clybourn Ave #11039183, Chicago, IL 60618",-1.0,2874.0,,-87.67934,41.933525,,FOR_RENT,2064150981,https://photos.zillowstatic.com/fp/dbfa27aa046c9df41d30052a40ed97ee-p_e.jpg,1270.0,2.0,,USA,USD,2.0,True,
3,,,,"6000-6002 N Winthrop Ave, Chicago, IL",,,,,,,,41.99315--87.658295,https://photos.zillowstatic.com/fp/3a97dd39e9a39c72973b3fcc2ac37ea0-p_e.jpg,,,,,,,True,
4,,APARTMENT,,"1 bed, 550 sqft, $1,250, 900 W Gunnison St #305, Chicago, IL 60640",-1.0,1250.0,,-87.65259,41.970306,,FOR_RENT,2079258330,https://photos.zillowstatic.com/fp/de6c5c5c72fe7b63767ad698f7bc72b2-p_e.jpg,550.0,1.0,,USA,USD,1.0,True,
5,,APARTMENT,,"1621 W Farwell Ave APT 3S, Chicago, IL 60626",-1.0,1300.0,,-87.67091,42.006084,,FOR_RENT,2084316443,https://photos.zillowstatic.com/fp/10e8deca5844757f348105b90d69fa47-p_e.jpg,,1.0,,USA,USD,2.0,True,
6,,,,"3852-3856 N Clark St, Chicago, IL",,,,,,,,41.949535--87.65838,https://photos.zillowstatic.com/fp/b18bd7748400e0158b783eb831b788c4-p_e.jpg,,,,,,,True,
7,,,,"6200-48 N Clark St W, Chicago, IL",,,,,,,,41.99107--87.66547,https://photos.zillowstatic.com/fp/5ec97111b43dce5a21fac8d8c4c93d51-p_e.jpg,,,,,,,True,
8,,APARTMENT,,"2917-39 N Central - 2921-203, 2921 N Central Ave UNIT 203, Chicago, IL 60634",-1.0,1795.0,,-87.76629,41.933517,,FOR_RENT,2064151873,https://photos.zillowstatic.com/fp/21c960ddbec97b4eb83bfc97c7cd3104-p_e.jpg,1400.0,2.0,,USA,USD,2.0,True,
9,,APARTMENT,,"1042 W George St #2F, Chicago, IL 60657",-1.0,1550.0,,-87.65559,41.934685,,FOR_RENT,2112157378,https://photos.zillowstatic.com/fp/f15765af1e659975b6a381675dc45b6d-p_e.jpg,800.0,1.0,,USA,USD,2.0,True,
10,,,,"3246 N Seminary Ave, Chicago, IL",,,,,,,,41.94124--87.65694,https://photos.zillowstatic.com/fp/c5d31fa7eafc2fc7995be0387844dc21-p_e.jpg,,,,,,,True,
11,,APARTMENT,,"633 W Oakdale Ave APT 1, Chicago, IL 60657",-1.0,2795.0,,-87.64557,41.93545,,FOR_RENT,2099182330,https://photos.zillowstatic.com/fp/b58a08696e64d5a9d453da9eed07acdc-p_e.jpg,1300.0,1.0,,USA,USD,3.0,True,
12,,APARTMENT,,"635 W Oakdale Ave #6354, Chicago, IL 60657",-1.0,2795.0,,-87.64562,41.93545,,FOR_RENT,2064152412,https://photos.zillowstatic.com/fp/51d2ff703e66daf0f7d611bafd8b4855-p_e.jpg,,1.0,,USA,USD,2.0,True,
13,,,,"837 W Wolfram St, Chicago, IL",,,,,,,,41.93333--87.65056,https://photos.zillowstatic.com/fp/659515b251f2a419625621464fc233c1-p_e.jpg,,,,,,,True,
14,,APARTMENT,,"604 W Surf St APT 2, Chicago, IL 60657",-1.0,2495.0,,-87.64442,41.93487,,FOR_RENT,2101967982,https://photos.zillowstatic.com/fp/a25b3caef64acfedff781d0c8f7bfa96-p_e.jpg,900.0,1.0,,USA,USD,2.0,True,
