,dateSold,propertyType,lotAreaValue,address,daysOnZillow,price,listingDateTime,longitude,latitude,contingentListingType,listingStatus,zpid,imgSrc,livingArea,bathrooms,lotAreaUnit,country,currency,bedrooms,hasImage,listingSubType
0,,APARTMENT,,"7700 S Carpenter St, 7700 S Carpenter St #1035-3B, Chicago, IL 60620",-1.0,1160.0,,-87.65054,41.754055,,FOR_RENT,2080008783,https://photos.zillowstatic.com/fp/c88ad16cd2332de65626021a29a4f8c3-p_e.jpg,656.0,1.0,,USA,USD,2.0,True,
1,,,,"4874 N Ashland Ave, Chicago, IL",,,,,,,,41.97113--87.669975,https://photos.zillowstatic.com/fp/feca441bd621e8b12c1222683eb7e08e-p_e.jpg,,,,,,,True,
2,,,,"3935 W Diversey Ave, Chicago, IL",,,,,,,,41.93154--87.72598,https://photos.zillowstatic.com/fp/0644a13eb06b04b628b47f3b0974c684-p_e.jpg,,,,,,,True,
3,,APARTMENT,,"2317 N Halsted St #GR, Chicago, IL 60614",-1.0,1850.0,,-87.64833,41.924183,,FOR_RENT,2101538803,https://photos.zillowstatic.com/fp/3054973661af5f8b1b7ed05149c43c81-p_e.jpg,,1.0,,USA,USD,2.0,True,
4,,,,"25 E Delaware Pl, Chicago, IL",,,,,,,,41.89897--87.6273,https://photos.zillowstatic.com/fp/a9b00ff7cc8010c1f9e6f7f93e7a7df2-p_e.jpg,,,,,,,True,
5,,APARTMENT,,"4546 North Damen, 4546 N Damen Ave, Chicago, IL 60625",-1.0,995.0,,-87.67948,41.96483,,FOR_RENT,2064144228,https://photos.zillowstatic.com/fp/d328c8c81cb176139ec5f8c3c8a46217-p_e.jpg,,1.0,,USA,USD,0.0,True,
6,,,,"530 W Surf St, Chicago, IL",,,,,,,,41.9346--87.642815,https://photos.zillowstatic.com/fp/50932ae6c7eb6b8a7d13aa3e2708e81d-p_e.jpg,,,,,,,True,
7,,,,"601 W Deming Pl, Chicago, IL",,,,,,,,41.927742--87.64434,https://photos.zillowstatic.com/fp/7bc53bf7726b2ad68b8ccad7a62ab448-p_e.jpg,,,,,,,True,
8,,,,"244 E Pearson St, Chicago, IL",,,,,,,,41.897957--87.61991,https://photos.zillowstatic.com/fp/6fa0b25bd8dfcd8490b3ab6634c0a6bb-p_e.jpg,,,,,,,True,
9,,,,"21 E Chestnut St, Chicago, IL",,,,,,,,41.898342--87.62718,https://photos.zillowstatic.com/fp/72112a8ccb15ca6d2c64cd1ef325172e-p_e.jpg,,,,,,,True,
10,,,,"10901 S Vernon Ave, Chicago, IL",,,,,,,,41.6962--87.6119,https://photos.zillowstatic.com/fp/1a80bb95da941d1653998b07568ce33e-p_e.jpg,,,,,,,True,
11,,,,"215 W Washington St, Chicago, IL",,,,,,,,41.88286--87.63424,https://photos.zillowstatic.com/fp/2b67b3fae50c87adc17f4d5022c3b7e4-p_e.jpg,,,,,,,True,
12,,,,"3170 N Sheridan Rd, Chicago, IL",,,,,,,,41.93967--87.63999,https://photos.zillowstatic.com/fp/2f689015e05e6a20cddce45602ad782a-p_e.jpg,,,,,,,True,
13,,,,"532 W Roscoe St, Chicago, IL",,,,,,,,41.943657--87.643394,https://photos.zillowstatic.com/fp/205cdf68f7a65522d5c30dc2712fc55a-p_e.jpg,,,,,,,True,
14,,,,"3450 N Lake Shore Dr, Chicago, IL",,,,,,,,41.94506--87.64229,https://photos.zillowstatic.com/fp/358a1d22b34a438c0a742394c7103b62-p_e.jpg,,,,,,,True,
15,,APARTMENT,,"7754 S Loomis, 7754 S Loomis Blvd #1414-1, Chicago, IL 60620",-1.0,1160.0,,-87.65908,41.752403,,FOR_RENT,2064259302,https://photos.zillowstatic.com/fp/9fe22c41f62f200d49ae5f432ce752f7-p_e.jpg,656.0,1.0,,USA,USD,2.0,True,
16,,APARTMENT,,"7657-59 S Morgan, 7657 S Morgan St #948-1, Chicago, IL 60620",-1.0,1035.0,,-87.64862,41.754375,,FOR_RENT,2070199804,https://photos.zillowstatic.com/fp/ea5cd93008047b0195fad7c5493bd22e-p_e.jpg,750.0,1.0,,USA,USD,2.0,True,
17,,APARTMENT,,"515 W Briar, 515 W Briar Pl, Chicago, IL 60657",-1.0,1456.0,,-87.642624,41.93844,,FOR_RENT,2103281538,https://photos.zillowstatic.com/fp/8b993702e3117fee5b4ba20df3a0bd3d-p_e.jpg,580.0,1.0,,USA,USD,1.0,True,
18,,,,"707 N Wells St, Chicago, IL",,,,,,,,41.8951--87.6341,https://photos.zillowstatic.com/fp/6b2884f4bcb62950c1b7565c4f51caac-p_e.jpg,,,,,,,True,
19,,,,"707 N Wells St, Chicago, IL",,,,,,,,41.89508--87.63379,https://photos.zillowstatic.com/fp/6b2884f4bcb62950c1b7565c4f51caac-p_e.jpg,,,,,,,True,
20,,,,"2138 S Indiana Ave, Chicago, IL",,,,,,,,41.853184--87.62273,https://photos.zillowstatic.com/fp/c9732c96bd37a9284ca0710741c63784-p_e.jpg,,,,,,,True,
21,,APARTMENT,0.6129476584022,"510 W Erie St APT 701, Chicago, IL 60654",-1.0,5000.0,,-87.6422,41.8943,,FOR_RENT,65565532,https://photos.zillowstatic.com/fp/5313af62d55a28634c3298fdd03e88fb-p_e.jpg,1330.0,2.0,acres,USA,USD,2.0,True,
22,,,,"405 N Wabash Ave, Chicago, IL",,,,,,,,41.889942--87.62608,https://photos.zillowstatic.com/fp/4634b2cf4bd13ab3b85ff715e92d464d-p_e.jpg,,,,,,,True,
23,,,,"2340 N California Ave, Chicago, IL",,,,,,,,41.92408--87.6978,https://photos.zillowstatic.com/fp/76f564af83a135197bc2554728eaeecd-p_e.jpg,,,,,,,True,
24,,APARTMENT,,"The Wilson Club, 1124 W Wilson Ave, Chicago, IL 60640",-1.0,1400.0,,-87.658714,41.965874,,FOR_RENT,2066695882,https://photos.zillowstatic.com/fp/531c5e3625bb3135ce8c6e85bcca2872-p_e.jpg,326.0,1.0,,USA,USD,0.0,True,
25,,,,"3130 N Lake Shore Dr, Chicago, IL",,,,,,,,41.938416--87.63866,https://photos.zillowstatic.com/fp/24d88615ecc6b30752af0a7a707ba6ac-p_e.jpg,,,,,,,True,
26,,,,"1 E Delaware Pl, Chicago, IL",,,,,,,,41.89904--87.62796,https://photos.zillowstatic.com/fp/902ff023170d6b22f312006b65e60724-p_e.jpg,,,,,,,True,
27,,APARTMENT,,"7825 S Emerald Ave, 7825 S Emerald Ave #7831-1, Chicago, IL 60620",-1.0,1050.0,,-87.64259,41.751637,,FOR_RENT,2072916140,https://photos.zillowstatic.com/fp/2a6b1e24ad35c420a706631db6d577f4-p_e.jpg,450.0,1.0,,USA,USD,1.0,True,
28,,,,"1333 S Wabash Ave, Chicago, IL",,,,,,,,41.86479--87.62525,https://photos.zillowstatic.com/fp/73ffa4e866cc69a9648c502410425dfb-p_e.jpg,,,,,,,True,
29,,,,"61 E 21st St, Chicago, IL",,,,,,,,41.8543--87.625,https://photos.zillowstatic.com/fp/a552e8f5d34f5635242d3bb40d393406-p_e.jpg,,,,,,,True,
30,,,,"543 W Arlington Pl, Chicago, IL",,,,,,,,41.926556--87.64296,https://photos.zillowstatic.com/fp/addc693ddd8e2c0856238ac31e6abc54-p_e.jpg,,,,,,,True,
31,,,,"360 W Hubbard St, Chicago, IL",,,,,,,,41.89007--87.63765,https://photos.zillowstatic.com/fp/51b32fd601f8b40bf24f24a880061748-p_e.jpg,,,,,,,True,
32,,,,"823 W Buena Ave, Chicago, IL",,,,,,,,41.95812--87.65085,https://photos.zillowstatic.com/fp/36ab091f411dd2b8f932b9228557407b-p_e.jpg,,,,,,,True,
33,,,,"529-41 W Wellington Ave, Chicago, IL",,,,,,,,41.935963--87.67499,https://photos.zillowstatic.com/fp/c67ea38de4f4074b671bff54d62bc604-p_e.jpg,,,,,,,True,
34,,,,"6011 N Winthrop Ave, Chicago, IL",,,,,,,,41.991253--87.65788,https://photos.zillowstatic.com/fp/e90c83e007ead731fe0ffead4454fa19-p_e.jpg,,,,,,,True,
35,,,,"1018 E 54th St, Chicago, IL",,,,,,,,41.798073--87.60041,https://photos.zillowstatic.com/fp/b6b8e3693debc89beddb61d2c696a62a-p_e.jpg,,,,,,,True,
36,,APARTMENT,,"5001-03 N. Damen Ave. / 1960-68 W. Argyle St., 5001 N Damen Ave #1966-1, Chicago, IL 60625",-1.0,1250.0,,-87.67892,41.972557,,FOR_RENT,2064158922,https://photos.zillowstatic.com/fp/aec7e2e28dbee50d310940f007c131d4-p_e.jpg,,1.0,,USA,USD,1.0,True,
37,,TOWNHOUSE,942.0,"1035 N Riverwalk St, Chicago, IL 60610",-1.0,5585.0,,-87.646,41.90048,,FOR_RENT,80826518,https://photos.zillowstatic.com/fp/a9e874d5ed0403b389fafffd0cf07bf5-p_e.jpg,2650.0,3.0,sqft,USA,USD,3.0,True,
38,,APARTMENT,,"4653 W Jackson Blvd, 4653 W Jackson Blvd APT 2E, Chicago, IL 60644",-1.0,1125.0,,-87.742424,41.8766,,FOR_RENT,2102229834,https://photos.zillowstatic.com/fp/81ad1e649790dd770ec9b18bf96ed058-p_e.jpg,775.0,1.0,,USA,USD,1.0,True,
39,,APARTMENT,,"11 W. Division, 11 W Division St, Chicago, IL 60610",-1.0,1065.0,,-87.629196,41.90382,,FOR_RENT,2066715193,https://photos.zillowstatic.com/fp/8ab4444df0c9cb2c1b67ecda5093463b-p_e.jpg,,1.0,,USA,USD,0.0,True,
